cityName,bedrooms,month,Final_Price_Index,Final_Quantity_Index
Ahmedabad,2-BHK,2018-04-01,100.98,179.1519469
Ahmedabad,2-BHK,2018-05-01,101.28,140.8944756
Ahmedabad,2-BHK,2018-06-01,102.22,134.7704103
Ahmedabad,2-BHK,2018-07-01,100.82,131.8875508
Ahmedabad,2-BHK,2018-08-01,101.61,116.7882269
Ahmedabad,2-BHK,2018-09-01,100.59,108.6675958
Ahmedabad,2-BHK,2018-10-01,101.04,121.6560476
Ahmedabad,2-BHK,2018-11-01,102.41,128.390371
Ahmedabad,2-BHK,2018-12-01,104.24,125.3345726
Ahmedabad,2-BHK,2019-01-01,104.86,155.8128997
Ahmedabad,2-BHK,2019-02-01,105.9,150.0667543
Ahmedabad,2-BHK,2019-03-01,106.66,131.9955827
Ahmedabad,2-BHK,2019-04-01,106.91,179.6983921
Ahmedabad,2-BHK,2019-05-01,108.12,129.7814204
Ahmedabad,2-BHK,2019-06-01,108.41,122.3426134
Ahmedabad,2-BHK,2019-07-01,107.76,239.7591231
Ahmedabad,2-BHK,2019-08-01,109.8,141.3096196
Ahmedabad,2-BHK,2019-09-01,110.46,126.3541074
Ahmedabad,2-BHK,2019-10-01,110.7,130.9807412
Ahmedabad,2-BHK,2019-11-01,110.14,124.8524004
Ahmedabad,2-BHK,2019-12-01,111.12,115.9425882
Ahmedabad,2-BHK,2020-01-01,112.08,153.055581
Ahmedabad,2-BHK,2020-02-01,112.8,96.34842
Ahmedabad,2-BHK,2020-03-01,113.44,88.12793266
Ahmedabad,2-BHK,2020-04-01,114.42,14.79611406
Ahmedabad,2-BHK,2020-05-01,114.24,24.31228287
Ahmedabad,2-BHK,2020-06-01,114.28,33.93796129
Ahmedabad,2-BHK,2020-07-01,114.69,53.51594721
Ahmedabad,2-BHK,2020-08-01,117.45,62.51338434
Ahmedabad,2-BHK,2020-09-01,117.47,56.36905832
Ahmedabad,2-BHK,2020-10-01,120.24,67.02092706
Ahmedabad,2-BHK,2020-11-01,119.59,55.21059501
Ahmedabad,2-BHK,2020-12-01,120.91,49.24211733
Bangalore,2-BHK,2017-01-01,100.0,100.0
Bangalore,2-BHK,2017-02-01,99.45,92.9942881
Bangalore,2-BHK,2017-03-01,100.16,105.7129356
Bangalore,2-BHK,2017-04-01,100.31,100.7739244
